description,subject
" In 2020, only 9% of firms reporting use AI tools like machine learning and voice recognition.	ai	How does data overfitting occur and how can it be fixed?",ai
" According to a study by Bespoken, Googleâ€™s AI far excelled that of Alex22. In 2020, Elon Musk predicted that AI will overtake humans and grow more intelligent than our species by 2025.	ai	Mention a technique that helps to avoid overfitting in a neural network.",ai
"AI-enabled voice assistants will not be female by default anymore.	ai	What is the purpose of Deep Learning frameworks such as Keras, TensorFlow, and PyTorch?",ai
" Chinese scientists have created AlphaDog - a robot dog that, rather than just serving as a pet, could also help with delivery, bussing in restaurants, and aiding the visually impaired.	ai	What are the different components of NLP?",ai
"In 2021, 33% of a total of just over a thousand companies have started to implement limited AI use cases. - PWC 	ai	What is Stemming & Lemmatization in NLP?",ai
Google-owned AI DeepMind can beat most Starcraft 2 players and compete with the best.	ai	Explain Fuzzy Logic architecture.,ai
"Top scientists and technologists like Stephen Hawking, Bill Gates and Elon Musk believe that AI is a very dangerous threat to humanity.	ai	Explain the components of Expert Systems.",ai
Google has developed AI that can design chips for computers much faster than humans	ai	How is Computer Vision and AI related?,ai
" Productivity can be increased by 40% by using artificial intelligence, allowing people to spend their time more effectively.	ai	 Which is better for image classification? Supervised or unsupervised classification?",ai
" The worldâ€™s top universities have increased their AI-related education over th31. The number of AI startups have increased 14 times since 2000. 	ai	Finite difference filters in image processing are very susceptible to noise. To cope up with this, which method can you use so that there would be minimal distortions by noise?",ai
" In Stanford, the number of AI-related courses has jumped from 25 in 2010 to 77 in 2020.	ai	 How is Game theory and AI related?",ai
None of the top 10 internet companies originated in Europe. 	ai	 What is the Minimax Algorithm? Explain the terminologies involved in a Minimax problem.,ai
"China is the largest market for industrial robots since 2013, with 140,492 units installed in 2019.	ai	Show the working of the Minimax algorithm using Tic-Tac-Toe Game.",ai
" The best five countries for AI jobs are - China, USA, Japan, UK, and India.	ai	Which method is used for optimizing a Minimax based game?",ai
" In 2019 IBM AI machine called Debater lost to a top-ranked human debater, Harish Natarajan.	ai	 Which algorithm does Facebook use for face verification and how does it work?",ai
"Companies like, Microsoft and Google warn that bad AI decisions can harm potential businesses.	ai	How can AI be used in detecting fraud?",ai
"A lot of sci-fi literature and films have resulted in real tech discoveries - like the AI-infused replicants in Blade Runner, which are based on the androids in Philip K. Dickâ€™s Do Androids Dream of Electric Sheep?	ai	A bank manager is given a data set containing records of 1000s of applicants who have applied for a loan. How can AI help the manager understand which loans he can approve?",ai
"By 2025, AI is expected to become a $60 billion dollar industry!	ai	You’ve won a 2-million-dollar worth lottery’ we all get such spam messages. How can AI be used to detect and filter out such spam messages?",ai
"To stay competitive in todayâ€™s climate, businesses need to also boost their Voice SEO (VSEO).	ai	Let’s say that you started an online shopping business and to grow your business, you want to forecast the sales for the upcoming months. How would you do this?",ai
 Voice search is going to make SEO more complicated as users will get only one result from one data source.	ai	‘Customers who bought this also bought this…’ we often see this when we shop on Amazon. What is the logic behind recommendation engines?,ai
" With the usage of AI, customer services are able to map out customer journeys and discover business-related information about the different segments. - Forbes	ai	 What is market basket analysis and how can Artificial Intelligence be used to perform this?",ai
"â€کâ€™According to artificial intelligence expert Dr. David Levy, in a few generations, we won't just be having sex with robots, we'll be marrying them.  He has predicted that human-robot marriages would be legal by the year 2050.â€™â€™ - CBC Radio	ai	 Place an agent in any one of the rooms (0,1,2,3,4) and the goal is to reach outside the building (room 5). Can this be achieved through AI?",ai
" Soon enough, robots will be able to detect when theyâ€™re â€œin painâ€‌ - i.e., damaged - which would make them aware that theyâ€™re in need of repair.	ai	The crop yield in India is degrading because farmers are unable to detect diseases in crops during the early stages. Can AI be used for disease detection in crops?",ai
" Because of concerns over data privacy, the EU has created a draft of ethics guidelines for AI. It outlines points like how developers should be sure that their AI will repet fundamental human rights.	ai	Artificial Intelligence (AI) is an area of computer science that emphasizes the creation of intelligent machines that work and react like humans.” “The capability of a machine to imitate the intelligent human behavior.”",ai
" One of the first AI programs was created in 1965 by Carl Djerassi. It was named DENDRAL and it automatically discovered unknown forms of medications.	ai	One of the most popular AI Applications is the google search engine. If you open up your chrome browser and start typing something, Google immediately provides recommendations for you to choose from. The logic behind the search engine is Artificial Intelligence.",ai
" â€کFacebookâ€™s AI team is hard at work developing AI that can understand the content of videos and put it to use. Though what this means remains somewhat vague, an innocent part of it would be automated video captions, for instance.	ai	AI uses predictive analytics, NLP and Machine Learning to recommend relevant searches to you. These recommendations are based on data that Google collects about you, such as your search history, location, age, etc. Thus, Google makes use of AI, to predict what you might be looking for.",ai
" Banks use AI for revenue generation and risk management.	ai	Reactive Machines AI: Based on present actions, it cannot use previous experiences to form current decisions and simultaneously update their memory.",ai
" Google has a Quantum AI Lab where, unlike other companies, they actually own a quantum computer.	ai	Limited Memory AI: Used in self-driving cars. They detect the movement of vehicles around them constantly and add it to their memory.",ai
" Deep Blue was the first AI robot, made in 1996. It was a chess-playing computer which won its first game against a World Champion on 10 February 1996.	ai	Theory of Mind AI: Advanced AI that has the ability to understand emotions, people and other things in the real world.",ai
" Experts believe that AI will take over 16% of current jobs within the next 10 years, but worry not, a new era of job opportunities will arise.	ai	Self Aware AI: AIs that posses human-like consciousness and reactions. Such machines have the ability to form self-driven actions.",ai
"e lastfew years, according to the AI Index. 	ai	Artificial Narrow Intelligence (ANI): General purpose AI, used in building virtual assistants like Siri.",ai
 A startup called Outrider uses electric AI-based yard trucks to create fully-automated yard operations that are repetitive and even sometimes dangerous for humans.	ai	Artificial General Intelligence (AGI): Also known as strong AI. An example is the Pillo robot that answers questions related to health,ai
" The â€œBig Techâ€‌ companies, namely Amazon, Google, Facebook, Apple, and Microsoft obtained 13 AI startups in 2020. 	ai	Artificial Superhuman Intelligence (ASI): AI that possesses the ability to do everything that a human can do and more. An example is the Alpha 2 which is the first humanoid ASI robot.",ai
" In 1980 John Searle explained the division of â€کâ€™weakâ€™â€™ and â€کâ€™strongâ€™â€™ AI. Weak AI focuses on one narrow task, while strong AI is similar to full human intelligence.	ai	Machine Learning: It’s the science of getting computers to act by feeding them data so that they can learn a few tricks on their own, without being explicitly programmed to do so.",ai
" Researchers at the University of Stanford created a machine learning algorithm that is capable of predicting death with a shocking 90 percent accuracy.	ai	Neural Networks: They are a set of algorithms and techniques, modeled in accordance with the human brain. Neural Networks are designed to solve complex and advanced machine learning problems.",ai
" In the medical world, the TUG robot can carry nearly 1000 lbs of medication to any location in a hospital. Because of this innovation, doctors are able to spend more time with patients.	ai	Robotics: Robotics is a subset of AI, which includes different branches and application of robots. These Robots are artificial agents acting in a real-world environment. An AI Robot works by manipulating the objects in it’s surrounding, by perceiving, moving and taking relevant actions.",ai
 To better address various AI problems - including fairness - researchers are suggesting a probabilistic programming language system.	ai	Expert Systems: An expert system is a computer system that mimics the decision-making ability of a human. It is a computer program that uses artificial intelligence (AI) technologies to simulate the judgment and behavior of a human or an organization that has expert knowledge and experience in a particular field.,ai
" AI systems are now capable of composing audio, text, and pictures. This has been applied to significantly improve the detection of individual persons with facial and voice recognition.	ai	Fuzzy Logic Systems: Fuzzy logic is an approach to computing based on “degrees of truth” rather than the usual “true or false” (1 or 0) boolean logic on which the modern computer is based. Fuzzy logic Systems can take imprecise, distorted, noisy input information.",ai
 The FBI uses machine learning to detect potential terrorist activity by tracking mobile messaging apps and social media platforms.	ai	Natural Language Processing: Natural Language Processing (NLP) refers to the Artificial Intelligence method that analyses natural human language to derive useful insights in order to solve problems.,ai
" In the 1970s the capabilities of AI were limited because of limited computer power, but with the decreasing size of transistors and increase in the computational power of devices, it has become possible to create machine and deep learning algorithms capable of voice recognition, self driving cars, and MUCH more.	ai	Artificial Intelligence is a technique that enables machines to mimic human behavior. Whereas, Machine Learning is a subset of Artificial Intelligence. It is the science of getting computers to act by feeding them data and letting them learn a few tricks on their own, without being explicitly programmed to do so.",ai
" AI has shown to be better at detecting breast cancer than individual doctors, and just as good as double-reading - a diagnosis brought by two doctors.	ai	The Q-learning is a Reinforcement Learning algorithm in which an agent tries to learn the optimal policy from its past experiences with the environment.",ai
" AI is capable of making diagnoses just as accurately as world-leading experts in the medical field. For example, there is one such AI driven algorithm that can detect metastatic breast cancer with 99 percent accuracy.	ai	Deep learning imitates the way our brain works i.e. it learns from experiences. It uses the concepts of neural networks to solve complex problems.",ai
 One of the main - and most crucial - problems of AI is that even its creators canâ€™t understand some of the decisions AI software makes and why.	ai	Input Layer: This layer receives all the inputs and forwards them to the hidden layer for analysis,ai
" With the aid of AI, Canadian startup BlueDot predicted the coronavirus pandemic before the world knew what was going on - and about to happen.	ai	Hidden Layer: In this layer, various computations are carried out and the result is transferred to the output layer. There can be n number of hidden layers, depending on the problem you’re trying to solve.",ai
" AI is used in surgery not only for diagnosing patients, but also for decision-making and automated (robot-assisted) surgeries.	ai	Output Layer: This layer is responsible for transferring information from the neural network to the outside world.",ai
" Though there has been research to develop AI that could detect depression from someoneâ€™s voice, itâ€™s still not very accurate and has a tendency to misdiagnose ethnicities that werenâ€™t the majority in the group used for the ML development phase.	ai	Deep Learning is based on the basic unit of a brain called a brain cell or a neuron. Inspired from a neuron, an artificial neuron or a perceptron was developed.",ai
 Finland offers AI courses to ensure that the country remains competitive. Their goal is to teach at least one percent of the residents the basics of AI.	ai	A biological neuron has dendrites which are used to receive inputs,ai
 Some experts believe that as much as 45% of business processes could be automated with the help of AI.	ai	A Bayesian network is a statistical model that represents a set of variables and their conditional dependencies in the form of a directed acyclic graph,ai
 The ability to nap in your car while on your commute to work is much closer than you think.	ai	,ai
" Despite the statistics saying that AI will replace more than 80 million jobs, the World Economic Forum projects that more than 97 million new jobs will be created by 2025 due to AI technology. - PWC  	ai	",ai
 Reports say that half of Worlds Artificial Intelligence unicorns are in China. The combined valuation is $4.5 billion dollars.	ai	,ai
" By the end of 1993 - a very different time for AI - over 300 companies related to the large umbrella that is AI went bankrupt, shut down, or were acquired, this ending was the first ""commercial wave of AI"".	ai	",ai
 AI is also the future of dating apps. Researchers believe that itâ€™ll help people find more compatible partners from the convenience of their smartphones.	ai	,ai
" Global spending on AI is predicted to double by 2024, which means it would amount to over $110 billion.	ai	",ai
What do you understand by Artificial Intelligence?	ai	,ai
"Artificial intelligence is computer science technology that emphasizes creating intelligent machine that can mimic human behavior. Here Intelligent machines can be defined as the machine that can behave like a human, think like a human, and also capable of decision making. It is made up of two words, ""Artificial"" and ""Intelligence,"" which means the ""man-made thinking ability.""	ai	",ai
"With artificial intelligence, we do not need to pre-program the machine to perform a task; instead, we can create a machine with the programmed algorithms, and it can work on its own.	ai	",ai
Why do we need Artificial Intelligence?	ai	,ai
"The goal of Artificial intelligence is to create intelligent machines that can mimic human behavior. We need AI for today's world to solve complex problems, make our lives more smoothly by automating the routine work, saving the manpower, and to perform many more other tasks.	ai	",ai
 Give some real-world applications of AI.	ai	,ai
"Google Search Engine: When we start writing something on the google search engine, we immediately get the relevant recommendations from google, and this is because of different AI technologies.	ai	",ai
"Ridesharing Applications: Different ride-sharing applications such as Uber uses AI and machine learning to determine the type of ride, minimize the time once the car is hailed by the user, price of the ride, etc.	ai	",ai
"Spam Filters in Email: The AI is also used for email spam filtering so that you can get the important and relevant emails only in your inbox. As per the studies, Gmail successfully filters 99.9% of spam mails.	ai	",ai
"Social Networking: Different social networking sites such as Facebook, Instagram, Pinterest, etc., use the AI technology for different purposes such as face recognition and friend suggestions, when you upload a photograph on Facebook, understanding the contextual meaning of an emoji in Instagram, and so on.	ai	",ai
"Product recommendations: When we search for a product on Amazon, we get the recommendation for similar products, and this is because of different ML algorithms. Similarly, on Netflix, we get personalized recommendations for movies and web series.	ai	",ai
"What is the difference between AI, Machine Learning and Deep Learning?		",ai
What are the different types of AI?		,ai
 Explain the different domains of Artificial Intelligence.		,ai
How is Machine Learning related to Artificial Intelligence?		,ai
 What are the different types of Machine Learning?		,ai
What is Q-Learning?		,ai
What is Deep Learning?		,ai
Explain how Deep Learning works.		,ai
Explain the commonly used Artificial Neural Networks.		,ai
What are Bayesian Networks?		,ai
Explain the assessment that is used to test the intelligence of a machine.		,ai
How does Reinforcement Learning work? 		,ai
 Explain Markov’s decision process with an example		,ai
Explain reward maximization in Reinforcement Learning.		,ai
What is exploitation and exploration trade-off?		,ai
What is the difference between parametric & non-parametric models?		,ai
What is the difference between Hyperparameters and model parameters?		,ai
What are hyperparameters in Deep Neural Networks?		,ai
Explain the different algorithms used for hyperparameter optimization.		,ai
How does data overfitting occur and how can it be fixed?		,ai
Mention a technique that helps to avoid overfitting in a neural network.		,ai
"What is the purpose of Deep Learning frameworks such as Keras, TensorFlow, and PyTorch?		",ai
What are the different components of NLP?		,ai
What is Stemming & Lemmatization in NLP?		,ai
Explain Fuzzy Logic architecture.		,ai
Explain the components of Expert Systems.		,ai
How is Computer Vision and AI related?		,ai
 Which is better for image classification? Supervised or unsupervised classification?		,ai
"Finite difference filters in image processing are very susceptible to noise. To cope up with this, which method can you use so that there would be minimal distortions by noise?		",ai
 How is Game theory and AI related?		,ai
 What is the Minimax Algorithm? Explain the terminologies involved in a Minimax problem.		,ai
Show the working of the Minimax algorithm using Tic-Tac-Toe Game.		,ai
Which method is used for optimizing a Minimax based game?		,ai
 Which algorithm does Facebook use for face verification and how does it work?		,ai
Explain the logic behind targeted marketing. How can Machine Learning help with this?		,ai
How can AI be used in detecting fraud?		,ai
A bank manager is given a data set containing records of 1000s of applicants who have applied for a loan. How can AI help the manager understand which loans he can approve?		,ai
You’ve won a 2-million-dollar worth lottery’ we all get such spam messages. How can AI be used to detect and filter out such spam messages?		,ai
"Let’s say that you started an online shopping business and to grow your business, you want to forecast the sales for the upcoming months. How would you do this?		",ai
‘Customers who bought this also bought this…’ we often see this when we shop on Amazon. What is the logic behind recommendation engines?		,ai
 What is market basket analysis and how can Artificial Intelligence be used to perform this?		,ai
" Place an agent in any one of the rooms (0,1,2,3,4) and the goal is to reach outside the building (room 5). Can this be achieved through AI?		",ai
The crop yield in India is degrading because farmers are unable to detect diseases in crops during the early stages. Can AI be used for disease detection in crops?		,ai
Artificial Intelligence (AI) is an area of computer science that emphasizes the creation of intelligent machines that work and react like humans.” “The capability of a machine to imitate the intelligent human behavior.”		,ai
"One of the most popular AI Applications is the google search engine. If you open up your chrome browser and start typing something, Google immediately provides recommendations for you to choose from. The logic behind the search engine is Artificial Intelligence.		",ai
"AI uses predictive analytics, NLP and Machine Learning to recommend relevant searches to you. These recommendations are based on data that Google collects about you, such as your search history, location, age, etc. Thus, Google makes use of AI, to predict what you might be looking for.		",ai
"Reactive Machines AI: Based on present actions, it cannot use previous experiences to form current decisions and simultaneously update their memory.		",ai
Limited Memory AI: Used in self-driving cars. They detect the movement of vehicles around them constantly and add it to their memory.		,ai
"Theory of Mind AI: Advanced AI that has the ability to understand emotions, people and other things in the real world.		",ai
Self Aware AI: AIs that posses human-like consciousness and reactions. Such machines have the ability to form self-driven actions.		,ai
"Artificial Narrow Intelligence (ANI): General purpose AI, used in building virtual assistants like Siri.		",ai
Artificial General Intelligence (AGI): Also known as strong AI. An example is the Pillo robot that answers questions related to health		,ai
Artificial Superhuman Intelligence (ASI): AI that possesses the ability to do everything that a human can do and more. An example is the Alpha 2 which is the first humanoid ASI robot.		,ai
"Machine Learning: It’s the science of getting computers to act by feeding them data so that they can learn a few tricks on their own, without being explicitly programmed to do so.		",ai
"Neural Networks: They are a set of algorithms and techniques, modeled in accordance with the human brain. Neural Networks are designed to solve complex and advanced machine learning problems.		",ai
"Robotics: Robotics is a subset of AI, which includes different branches and application of robots. These Robots are artificial agents acting in a real-world environment. An AI Robot works by manipulating the objects in it’s surrounding, by perceiving, moving and taking relevant actions.		",ai
Expert Systems: An expert system is a computer system that mimics the decision-making ability of a human. It is a computer program that uses artificial intelligence (AI) technologies to simulate the judgment and behavior of a human or an organization that has expert knowledge and experience in a particular field.		,ai
"Fuzzy Logic Systems: Fuzzy logic is an approach to computing based on “degrees of truth” rather than the usual “true or false” (1 or 0) boolean logic on which the modern computer is based. Fuzzy logic Systems can take imprecise, distorted, noisy input information.		",ai
Natural Language Processing: Natural Language Processing (NLP) refers to the Artificial Intelligence method that analyses natural human language to derive useful insights in order to solve problems.		,ai
"Artificial Intelligence is a technique that enables machines to mimic human behavior. Whereas, Machine Learning is a subset of Artificial Intelligence. It is the science of getting computers to act by feeding them data and letting them learn a few tricks on their own, without being explicitly programmed to do so.		",ai
The Q-learning is a Reinforcement Learning algorithm in which an agent tries to learn the optimal policy from its past experiences with the environment.		,ai
Deep learning imitates the way our brain works i.e. it learns from experiences. It uses the concepts of neural networks to solve complex problems.		,ai
Input Layer: This layer receives all the inputs and forwards them to the hidden layer for analysis		,ai
"Hidden Layer: In this layer, various computations are carried out and the result is transferred to the output layer. There can be n number of hidden layers, depending on the problem you’re trying to solve.		",ai
Output Layer: This layer is responsible for transferring information from the neural network to the outside world.		,ai
"Deep Learning is based on the basic unit of a brain called a brain cell or a neuron. Inspired from a neuron, an artificial neuron or a perceptron was developed.		",ai
A biological neuron has dendrites which are used to receive inputs		,ai
A Bayesian network is a statistical model that represents a set of variables and their conditional dependencies in the form of a directed acyclic graph		,ai
Why is the Machine Learning trend emerging so fast?,ai
"Machine Learning solves Real-World problems. Unlike the hard coding rule to solve the problem, machine learning algorithms learn from the data.",ai
The learnings can later be used to predict the feature. It is paying off for early adopters,ai
A full 82% of enterprises adopting machine learning and Artificial Intelligence (AI) have gained a significant financial advantage from their investments.,ai
"According to Deloitte, companies have an impressive median ROI of 17%.",ai
Why was Machine Learning Introduced?,ai
"The simplest answer is to make our lives easier. In the early days of â€œintelligentâ€‌ applications, many systems used hardcoded rules of â€œifâ€‌ and â€œelseâ€‌ decisions to process data or adjust the user input. Think of a spam filter whose job is to move the appropriate incoming email messages to a spam folder. ",ai
What are Different Types of Machine Learning algorithms?,ai
There are various types of machine learning algorithms.,ai
"Whether they are trained with human supervision (Supervised, unsupervised, reinforcement learning)",ai
"The criteria in the below diagram are not exclusive, we can combine them any way we like.",ai
What is Supervised Learning?,ai
Supervised learning is a machine learning algorithm of inferring a function from labeled training data. The training data consists of a set of training examples.,ai
What is Unsupervised Learning?,ai
"Unsupervised learning is also a type of machine learning algorithm used to find patterns on the set of data given. In this, we donâ€™t have any dependent variable or label to predict. Unsupervised Learning Algorithms:Clustering, Anomaly Detection, Neural Networks and Latent Variable Models.",ai
"The Naive Bayes method is a supervised learning algorithm, it is naive since it makes assumptions by applying Bayesâ€™ theorem that all attributes are independent of each other.",ai
What is PCA? When do you use it?,ai
Principal component analysis (PCA) is most commonly used for dimension reduction.,ai
 Explain SVM Algorithm in Detail,ai
What are Support Vectors in SVM?,ai
What are Different Kernels in SVM?,ai
What is Cross-Validation?,ai
What is Bias in Machine Learning?,ai
Explain the Difference Between Classification and Regression?,ai
What is F1 score? How would you use it?,ai
Define Precision and Recall?,ai
How to Tackle Overfitting and Underfitting?,ai
What is a Neural Network?,ai
 What are Loss Function and Cost Functions? Explain the key Difference Between them?,ai
What is Ensemble learning?,ai
How do you make sure which Machine Learning Algorithm to use?,ai
How to Handle Outlier Values?,ai
 What is a Random Forest? How does it work?,ai
What is Collaborative Filtering? And Content-Based Filtering?,ai
What is Clustering?,ai
How can you select K for K-means Clustering?,ai
. What are Recommender Systems?,ai
How do check the Normality of a dataset?,ai
Can logistic regression use for more than 2 classes?,ai
Explain Correlation and Covariance?,ai
 What is P-value?,ai
What are Parametric and Non-Parametric Models?,ai
What is Reinforcement Learning?,ai
What is Reinforcement Learning?,ai
 What do you understand about Neural Networks in the context of Deep Learning?,ai
What are the applications of deep learning?,ai
Explain learning rate in the context of neural network models. What happens if the learning rate is too high or too low?,ai
What are the advantages of neural networks?,ai
 Explain what a deep neural network is.,ai
What are the different types of deep neural networks?,ai
What do you mean by end-to-end learning?,ai
What do you understand about gradient clipping in the context of deep learning?,ai
Explain Forward and Back Propagation in the context of deep learning.,ai
Explain Data Normalisation. What is the need for it?,ai
What are the different techniques to achieve data normalization?,ai
What do you mean by hyperparameters in the context of deep learning?,ai
Difference between multi-class and multi-label classification problems.,ai
Explain transfer learning in the context of deep learning.,ai
 What are the advantages of transfer learning?,ai
"Is it possible to train a neural network model by setting all biases to 0? Also, is it possible to train a neural network model by setting all of the weights to 0?",ai
 What is a tensor in deep learning?,ai
Explain the difference between a shallow network and a deep network.,ai
"In a Convolutional Neural Network (CNN), how can you fix the constant validation accuracy?",ai
Explain Batch Gradient Descent.,ai
Explain Stochastic Gradient Descent.,ai
How is it different from Batch Gradient Descent?,ai
Which deep learning algorithm is the best for face detection?,ai
What is an activation function? What is the use of an activation function?,ai
What do you mean by an epochs in the context of deep learning?,ai
"While building a neural network architecture, how will you decide how many neurons and the hidden layers should the neural network have?",ai
Can a deep learning model be solely built on linear regression?,ai
"According to you, which one is more powerful - a two layer neural network without any activation function or a two layer decision tree?",ai
Differentiate between bias and variance in the context of deep learning models. How can you achieve balance between the two?,ai
How does Recurrent Neural Network backpropagation vary from Artificial Neural Network backpropagation?,ai
What exactly do you mean by exploding and vanishing gradients?,ai
hat are autoencoders? Explain the different layers of autoencoders.,ai
Mention the applications of autoencoders.,ai
What do you know about Dropout?,ai
Differentiate between Deep Learning and Machine Learning.,ai
Explain the different types of activation functions.,ai
"With the unprecedented advancement of data aggregation and deep learning algorithms, artificial intelligence (AI) and machine learning (ML) are poised to transform the practice of medicine. ",ai
"The field of orthopedics, in particular, is uniquely suited to harness the power of big data, and in doing so provide critical insight into elevating the many facets of care provided by orthopedic surgeons. ",ai
The purpose of this review is to critically evaluate the recent and novel literature regarding ML in the field of orthopedics and to address its potential impact on the future of musculoskeletal care,ai
"Just as the business of medicine was once considered outside the domain of the orthopedic surgeon, we report evidence that demonstrates these emerging applications of AI warrant ownership, leverage, and application by the orthopedic surgeon to better serve their patients and deliver optimal, value-based care.",ai
"Originally coined in the 1950s, the term â€œartificial intelligenceâ€‌ initially began as the simple theory of human intelligence being exhibited by machines.",ai
" In 1976, Jerrold S. Maxmen foretold that artificial intelligence (AI) would bring about the â€œpost-physician eraâ€‌ in the twenty-first century .",ai
" In todayâ€™s era of rapid technological advancement and exponential increases in extremely large data sets (â€œbig dataâ€‌), AI has transitioned from mere theory to tangible application on an unprecedented scale .",ai
" From evaluating extraordinarily large data sets in near real-time, autonomous driving cars and stream history-influenced video viewing recommendations (Netflix, Los Gatos, CA, USA), to online purchase recommendations, advertisements, and fraud detection (Amazon, Seattle,, WA, USA), AI has become fundamentally ingrained within many facets of society and often functions invisibly in the background of our personal electronic devices.",ai
"Considered a subset of AI, machine learning (ML) exhibits the experiential â€œlearningâ€‌ associated with human intelligence, while also having the capacity to learn and improve its analyses through the use of computational algorithms .",ai
"These algorithms use large sets of data inputs and outputs to recognize patterns and effectively â€œlearnâ€‌ in order to train the machine to make autonomous recommendations or decisions. After sufficient repetitions and modification of the algorithm, the machine becomes able to take an input and to predict an output.",ai
" Outputs are then compared with a set of known outcomes in order to judge the accuracy of the algorithm, which is then iteratively adjusted to perfect the ability to predict further outcomes .",ai
â€œDeep neural networksâ€‌ are more complex versions of these models that make use of hierarchical tiers to segregate and manage the final output. The network begins with an input tier that then progresses to a number of â€œhidden tiersâ€‌ that each respond to different features of the input .,ai
" These tiers allow for an increase in understanding as the input ascends â€œdeeper,â€‌ permitting the development of models without explicitly programmed directions . ",ai
"As the machine studies a specific concept on multiple tiers, the existing algorithm is then able to successively refine itself as new data is available. Similar to the way the human brain functions, the machine is able to make â€œneuronalâ€‌ connections from â€œdendriticâ€‌ connections on multiple hierarchical data levels. These networks have thus given rise to a new form of AI, known as â€œdeep learningâ€‌ ",ai
"The predictive abilities of ML are being increasingly applied in the field of healthcare. As a convergence between health and data sciences, ML models have been proposed and tested as potential solutions to a variety of issues involving diagnostic errors, treatment mistakes, workflow inefficiencies, and impediments to value-based care .",ai
" One prominently theorized application of automated machine learning involves the automation of â€œclicksâ€‌ in the electronic health record (EHR) to combat the â€œworld of shallow medicineâ€‌ we currently live in with â€œinsufficient time, insufficient context, and insufficient presence,â€‌ as Dr. Eric Topol has described .",ai
" Specifically, a single patient in the EHR is associated with approximately 32,000 discrete data elements for analysis, necessitating an AI-based algorithm to process patient data .",ai
" Presently, efforts to automate actions in the electronic medical record are limited due to regulated proprietary access issues. However, when the eventual automation capabilities are realized, AI offers physicians the gift of time to finally execute the tasks for which they were trained, and â€œto make healthcare human againâ€‌ .",ai
"In 2018, the Cleveland Clinicâ€™s Department of Orthopaedic Surgery established the Machine Learning Arthroplasty Laboratory (MLAL) in an effort to further the study of these seminal issues and assess the ability to apply machine learning to musculoskeletal medicine, specifically as it relates to patient-specific, value-based care and human mobility ",ai
These research efforts are laying the groundwork for the future design and application of increasingly accurate ML algorithms that may directly improve patient outcomes and the practice of orthopedics in general ,ai
"This review serves to stand on the shoulders of those coming before it and critically evaluate the literature published over the last 5 years regarding ML in the field of orthopedic surgery, as well as to address its impact on the future of medicine.",ai
"Although ML is relatively new to the field of orthopedic surgery, it is vital for tomorrowâ€™s orthopedic surgeons intending to practice in the future to be conscious of and fully understand ML and the paradigm shift it represents within medicine in the delivery of optimal care ",ai
